ticker,max_drawdown,num_drawdowns,gics_industry_group
CMG,-56.51,4,Consumer Services
CMI,-30.81,4,Capital Goods
CMP,-68.81,9,Materials
CMPR,-61.17,10,Commercial & Professional Services
CMPX,-65.07,18,"Pharmaceuticals, Biotechnology & Life Sciences"
CMRC,-67.22,1,Software & Services
CMRE,-51.31,8,Transportation
CMS,-9.86,9,Utilities
CMT,-35.12,7,Materials
CMTG,-83.94,9,Financial Services
CMTL,-81.65,6,Technology Hardware & Equipment
CNA,-15.04,9,Insurance
CNC,-68.65,3,Health Care Equipment & Services
CNDT,-69.0,8,Commercial & Professional Services
CNH,-33.19,7,Capital Goods
CNK,-39.12,4,Media & Entertainment
CNM,-38.74,11,Capital Goods
CNMD,-66.84,1,Health Care Equipment & Services
CNNE,-37.03,3,Financial Services
CNO,-16.24,7,Insurance
CNOB,-27.94,13,Banks
CNP,-18.14,6,Utilities
CNR,-52.21,12,Energy
CNS,-44.43,6,Financial Services
CNSL,-7.84,2,Telecommunication Services
CNX,-33.37,4,Energy
CNXC,-68.88,2,Commercial & Professional Services
CNXN,-27.06,4,Technology Hardware & Equipment
COCO,-33.0,11,"Food, Beverage & Tobacco"
CODI,-81.07,1,Financial Services
COF,-28.24,6,Financial Services
COGT,-67.32,15,"Pharmaceuticals, Biotechnology & Life Sciences"
COHR,-54.85,13,Technology Hardware & Equipment
COHU,-62.48,5,Semiconductors & Semiconductor Equipment
COIN,-65.19,10,Financial Services
COKE,-27.51,5,"Food, Beverage & Tobacco"
COLB,-35.3,9,Banks
COLD,-66.77,2,Equity Real Estate Investment Trusts (REITs)
COLL,-41.07,8,"Pharmaceuticals, Biotechnology & Life Sciences"
COLM,-46.83,4,Consumer Durables & Apparel
COMM,-69.65,12,Technology Hardware & Equipment
COMP,-43.36,13,Real Estate Management & Development
COO,-42.17,6,Health Care Equipment & Services
COOP,-20.08,4,Financial Services
COP,-38.09,4,Energy
COR,-12.04,4,Health Care Equipment & Services
CORT,-69.59,10,"Pharmaceuticals, Biotechnology & Life Sciences"
COST,-21.07,5,Consumer Staples Distribution & Retail
